family,k,cost,ratio,target,residual
constant,20,0.0,0.3677500054861858,0.033833820809153176,5.204170427930421e-17
constant,20,0.5,0.36627906976744184,0.033833820809153176,1.0408340855860843e-17
constant,50,0.0,0.36779903001761577,0.033833820809153176,8.326672684688674e-17
constant,50,0.5,0.3673009680150172,0.033833820809153176,3.469446951953614e-17
constant,100,0.0,0.36786574237262987,0.033833820809153176,2.636779683484747e-16
constant,100,0.5,0.3677990300176158,0.033833820809153176,2.7755575615628914e-17
linear,20,0.0,0.3608239299575245,0.033833820809153176,4.163336342344337e-17
linear,20,0.5,0.3456000000000001,0.033833820809153176,0.0
linear,50,0.0,0.3667174627221862,0.033833820809153176,2.7755575615628914e-17
linear,50,0.5,0.3664548147603891,0.033833820809153176,6.5052130349130266e-18
linear,100,0.0,0.367639102646823,0.033833820809153176,1.5265566588595902e-16
linear,100,0.5,0.36671746272218614,0.033833820809153176,3.2959746043559335e-17
quadratic,20,0.0,0.364314665960996,0.033833820809153176,3.642919299551295e-17
quadratic,20,0.5,0.34362572291978666,0.033833820809153176,3.469446951953614e-18
quadratic,50,0.0,0.3672144322081103,0.033833820809153176,2.220446049250313e-16
quadratic,50,0.5,0.3646279138249045,0.033833820809153176,2.220446049250313e-16
quadratic,100,0.0,0.3678176140256249,0.033833820809153176,6.522560269672795e-16
quadratic,100,0.5,0.3670709634230621,0.033833820809153176,2.220446049250313e-16
exponential,20,0.0,0.365333478995427,0.033833820809153176,5.191160001860595e-16
exponential,20,0.5,0.3661072324831906,0.033833820809153176,2.220446049250313e-16
exponential,50,0.0,0.3675039970924834,0.033833820809153176,1.3877787807814457e-17
exponential,50,0.5,0.36742626035779735,0.033833820809153176,2.220446049250313e-16
exponential,100,0.0,0.36779106516159893,0.033833820809153176,6.606745847625994e-08
exponential,100,0.5,0.3678028045268552,0.033833820809153176,4.440892098500626e-16
random_monotone_0,12,0.0,0.3599628683466703,0.033833820809153176,8.673617379884035e-19
random_monotone_1,12,0.0,0.36458495966561655,0.033833820809153176,6.938893903907228e-18
random_monotone_2,12,0.0,0.355244931488841,0.033833820809153176,6.938893903907228e-18
random_monotone_3,12,0.0,0.36513377667457236,0.033833820809153176,0.0
random_monotone_4,12,0.0,0.3647660475569734,0.033833820809153176,2.6020852139652106e-18
random_monotone_5,12,0.0,0.3515308749360069,0.033833820809153176,2.220446049250313e-16
random_monotone_6,12,0.0,0.3649280608760962,0.033833820809153176,0.0
random_monotone_7,12,0.0,0.36297429187943253,0.033833820809153176,1.1102230246251565e-16
random_monotone_8,12,0.0,0.3560249166671663,0.033833820809153176,9.540979117872439e-18
random_monotone_9,12,0.0,0.3628342130640689,0.033833820809153176,2.168404344971009e-18
random_monotone_10,12,0.0,0.3640435362872024,0.033833820809153176,2.220446049250313e-16
random_monotone_11,12,0.0,0.3623113671985338,0.033833820809153176,6.661338147750939e-16
random_monotone_12,12,0.0,0.3652724369436086,0.033833820809153176,0.0
random_monotone_13,12,0.0,0.34169582357498757,0.033833820809153176,0.0
random_monotone_14,12,0.0,0.3640405295079252,0.033833820809153176,5.204170427930421e-18
random_monotone_15,12,0.0,0.35700920181400786,0.033833820809153176,6.938893903907228e-18
random_monotone_16,12,0.0,0.3602466906796208,0.033833820809153176,6.938893903907228e-18
random_monotone_17,12,0.0,0.362638451064146,0.033833820809153176,9.020562075079397e-17
random_monotone_18,12,0.0,0.36438382425670235,0.033833820809153176,1.1102230246251565e-16
random_monotone_19,12,0.0,0.3655213690329224,0.033833820809153176,3.469446951953614e-18
random_monotone_20,12,0.0,0.3596908284761696,0.033833820809153176,1.3877787807814457e-17
random_monotone_21,12,0.0,0.3668123627402681,0.033833820809153176,3.469446951953614e-18
random_monotone_22,12,0.0,0.36028851523676036,0.033833820809153176,3.2959746043559335e-17
random_monotone_23,12,0.0,0.36625051525987584,0.033833820809153176,2.7755575615628914e-17
random_monotone_24,12,0.0,0.36585722089206246,0.033833820809153176,1.1102230246251565e-16
random_monotone_0,12,0.4,0.28529871914814614,0.033833820809153176,0.0
random_monotone_1,12,0.4,0.3541916765534838,0.033833820809153176,2.220446049250313e-16
random_monotone_2,12,0.4,0.3596154600124588,0.033833820809153176,2.220446049250313e-16
random_monotone_3,12,0.4,0.36846428689521193,0.033833820809153176,0.0
random_monotone_4,12,0.4,0.36249371606666575,0.033833820809153176,0.0
random_monotone_5,12,0.4,0.364074671018133,0.033833820809153176,5.204170427930421e-18
random_monotone_6,12,0.4,0.35928951276699317,0.033833820809153176,0.0
random_monotone_7,12,0.4,0.3478869163529471,0.033833820809153176,0.0
random_monotone_8,12,0.4,0.3566958220200369,0.033833820809153176,9.540979117872439e-18
random_monotone_9,12,0.4,0.35391469523424696,0.033833820809153176,1.7388856945693292e-19
random_monotone_10,12,0.4,0.3604651827049604,0.033833820809153176,2.220446049250313e-16
random_monotone_11,12,0.4,0.34958507539027744,0.033833820809153176,1.0408340855860843e-17
random_monotone_12,12,0.4,0.32358792492054234,0.033833820809153176,0.0
random_monotone_13,12,0.4,0.3171354544935355,0.033833820809153176,0.0
random_monotone_14,12,0.4,0.36058615062385047,0.033833820809153176,3.469446951953614e-18
random_monotone_15,12,0.4,0.3087131881992005,0.033833820809153176,0.0
random_monotone_16,12,0.4,0.29298077012288837,0.033833820809153176,0.0
random_monotone_17,12,0.4,0.35691881896774497,0.033833820809153176,6.875569248269656e-20
random_monotone_18,12,0.4,0.3687738349901423,0.033833820809153176,0.0
random_monotone_19,12,0.4,0.35386204503148866,0.033833820809153176,1.7903254434600289e-19
random_monotone_20,12,0.4,0.36330279847143826,0.033833820809153176,1.1102230246251565e-16
random_monotone_21,12,0.4,0.35485245177346064,0.033833820809153176,0.0
random_monotone_22,12,0.4,0.35729319921009073,0.033833820809153176,0.0
random_monotone_23,12,0.4,0.35594825814337294,0.033833820809153176,0.0
random_monotone_24,12,0.4,0.3595982460387811,0.033833820809153176,0.0
random_monotone_0,30,0.0,0.3669930560514284,0.033833820809153176,1.0408340855860843e-17
random_monotone_1,30,0.0,0.3667080065022119,0.033833820809153176,3.469446951953614e-17
random_monotone_2,30,0.0,0.3659246297046126,0.033833820809153176,3.686287386450715e-18
random_monotone_3,30,0.0,0.36720842017180394,0.033833820809153176,1.0408340855860843e-17
random_monotone_4,30,0.0,0.3666528949993697,0.033833820809153176,1.1102230246251565e-16
random_monotone_5,30,0.0,0.36573535414714703,0.033833820809153176,2.220446049250313e-16
random_monotone_6,30,0.0,0.367284434552057,0.033833820809153176,3.122502256758253e-17
random_monotone_7,30,0.0,0.3661266295284993,0.033833820809153176,1.214306433183765e-17
random_monotone_8,30,0.0,0.3657306892721258,0.033833820809153176,2.220446049250313e-16
random_monotone_9,30,0.0,0.3658753396390988,0.033833820809153176,2.393918396847994e-16
random_monotone_10,30,0.0,0.3649448389117542,0.033833820809153176,2.220446049250313e-16
random_monotone_11,30,0.0,0.36710000090939776,0.033833820809153176,3.469446951953614e-18
random_monotone_12,30,0.0,0.3659877666724943,0.033833820809153176,2.220446049250313e-16
random_monotone_13,30,0.0,0.3653320324631128,0.033833820809153176,2.220446049250313e-16
random_monotone_14,30,0.0,0.3661665204995614,0.033833820809153176,2.220446049250313e-16
random_monotone_15,30,0.0,0.3644476134967219,0.033833820809153176,2.220446049250313e-16
random_monotone_16,30,0.0,0.36648860630665986,0.033833820809153176,6.938893903907228e-18
random_monotone_17,30,0.0,0.3661114711806471,0.033833820809153176,4.440892098500626e-16
random_monotone_18,30,0.0,0.3664595542786372,0.033833820809153176,4.85722573273506e-17
random_monotone_19,30,0.0,0.3669193506361296,0.033833820809153176,8.673617379884035e-19
random_monotone_20,30,0.0,0.3666153189675357,0.033833820809153176,2.220446049250313e-16
random_monotone_21,30,0.0,0.36630103510746276,0.033833820809153176,1.1102230246251565e-16
random_monotone_22,30,0.0,0.3669417307025271,0.033833820809153176,2.220446049250313e-16
random_monotone_23,30,0.0,0.366057679022286,0.033833820809153176,1.3877787807814457e-17
random_monotone_24,30,0.0,0.3670129892962647,0.033833820809153176,2.220446049250313e-16
random_monotone_0,30,0.4,0.3569188486134908,0.033833820809153176,8.673617379884035e-19
random_monotone_1,30,0.4,0.36476183846850163,0.033833820809153176,1.1102230246251565e-16
random_monotone_2,30,0.4,0.3586513575431857,0.033833820809153176,1.734723475976807e-18
random_monotone_3,30,0.4,0.359026056409079,0.033833820809153176,2.220446049250313e-16
random_monotone_4,30,0.4,0.358270519446272,0.033833820809153176,3.469446951953614e-18
random_monotone_5,30,0.4,0.36482169687461047,0.033833820809153176,1.734723475976807e-18
random_monotone_6,30,0.4,0.3668685529540611,0.033833820809153176,8.673617379884035e-18
random_monotone_7,30,0.4,0.36486430290176713,0.033833820809153176,8.673617379884035e-18
random_monotone_8,30,0.4,0.3665404090411045,0.033833820809153176,2.220446049250313e-16
random_monotone_9,30,0.4,0.36250271160312336,0.033833820809153176,1.734723475976807e-18
random_monotone_10,30,0.4,0.36672157728112775,0.033833820809153176,1.3877787807814457e-17
random_monotone_11,30,0.4,0.36432953393420486,0.033833820809153176,2.220446049250313e-16
random_monotone_12,30,0.4,0.36626092955613515,0.033833820809153176,1.1709383462843448e-17
random_monotone_13,30,0.4,0.3600293105971681,0.033833820809153176,0.0
random_monotone_14,30,0.4,0.3607772649901752,0.033833820809153176,2.168404344971009e-19
random_monotone_15,30,0.4,0.3584834225911391,0.033833820809153176,6.938893903907228e-18
random_monotone_16,30,0.4,0.36020390051103585,0.033833820809153176,0.0
random_monotone_17,30,0.4,0.36609565671731353,0.033833820809153176,3.3306690738754696e-16
random_monotone_18,30,0.4,0.36785640832256344,0.033833820809153176,2.3852447794681098e-18
random_monotone_19,30,0.4,0.36023585023911536,0.033833820809153176,1.0408340855860843e-17
random_monotone_20,30,0.4,0.36119034867967825,0.033833820809153176,2.220446049250313e-16
random_monotone_21,30,0.4,0.3626011814650847,0.033833820809153176,8.673617379884035e-18
