demand,cost,slope,r2
constant,0.0,-0.6750762021468505,0.9562060043021813
constant,0.5,-0.5944982719962567,0.9357964581680667
constant,0.9,-0.4112562696638618,0.9039719814734042
linear,0.0,-0.5124754577949215,0.9154985385118826
linear,0.5,-0.43589131424542255,0.902704433769603
linear,0.9,-0.23442759762734322,0.8317310533860681
quadratic,0.0,-0.5646749415363412,0.9311531700153768
quadratic,0.5,-0.4543544315314983,0.9070858718221103
quadratic,0.9,-0.23569127337561263,0.8282604522926977
exponential,0.0,-0.5602516703069086,0.9289279411457365
exponential,0.5,-0.5358548978901897,0.9215683259605361
exponential,0.9,-0.4087762415071024,0.9104813336537468
