demand,cost,n,ratio,total_utility,theorem_bound,residual
constant,0.0,2,0.36786574237262987,0.7357314847452597,2.04,2.636779683484747e-16
constant,0.0,3,0.136748632618623,0.41024589785586896,1.8595919791379003,1.5543122344752192e-15
constant,0.0,4,0.052109908811452665,0.20843963524581066,1.5115177646857694,1.1102230246251565e-15
constant,0.0,5,0.021202381186672777,0.10601190593336389,1.155650800742149,2.220446049250313e-16
constant,0.0,6,0.010068049945995052,0.06040829967597031,0.8520116994196762,2.220446049250313e-16
constant,0.0,7,0.004706520576419767,0.03294564403493837,0.6145949903672916,5.83626029448947e-16
constant,0.0,8,0.003101339589569533,0.024810716716556266,0.43829654694291154,4.440892098500626e-16
constant,0.0,9,0.0023260200423352757,0.02093418038101748,0.31177645080086647,1.8648277366750676e-16
constant,0.0,10,0.001866595107237949,0.01866595107237949,0.2231563888873418,2.220446049250313e-16
constant,0.5,2,0.3677990300176158,0.3677990300176158,1.04,2.7755575615628914e-17
constant,0.5,3,0.13830705907475,0.207460588612125,0.9497959895689502,3.3306690738754696e-16
constant,0.5,4,0.05414883895971654,0.10829767791943308,0.7757588823428847,1.1102230246251565e-16
constant,0.5,5,0.023735274268445936,0.05933818567111484,0.5978254003710746,2.220446049250313e-16
constant,0.5,6,0.010983663789935299,0.03295099136980589,0.4460058497098381,2.220446049250313e-15
constant,0.5,7,0.006808427646490875,0.023829496762718064,0.32729749518364576,1.734723475976807e-17
constant,0.5,8,0.004974063457402361,0.019896253829609443,0.23914827347145579,3.7383290907300193e-16
constant,0.5,9,0.003923886217491228,0.017657487978710525,0.17588822540043325,8.890457814381136e-18
constant,0.5,10,0.003214937398877728,0.01607468699438864,0.1315781944436709,7.849623728795052e-17
constant,0.9,2,0.36627906976744173,0.07325581395348833,0.23999999999999996,0.0
constant,0.9,3,0.14679064285363502,0.04403719285609049,0.22195919791378999,1.3877787807814457e-17
constant,0.9,4,0.06555586148093549,0.026222344592374193,0.18715177646857692,2.220446049250313e-16
constant,0.9,5,0.03722078694425904,0.018610393472129515,0.15156508007421488,1.734723475976807e-18
constant,0.9,6,0.025819967694947918,0.015491980616968748,0.12120116994196761,2.168404344971009e-19
constant,0.9,7,0.01972596761606679,0.013808177331246748,0.09745949903672915,4.336808689942018e-19
constant,0.9,8,0.015875191917004546,0.012700153533603632,0.07982965469429115,2.168404344971009e-19
constant,0.9,9,0.01321768482694956,0.011895916344254602,0.06717764508008664,2.220446049250313e-16
constant,0.9,10,0.011111111111111124,0.011111111111111122,0.05831563888873417,1.2849803525754143e-19
linear,0.0,2,0.367639102646823,0.1838195513234115,2.0196,1.5265566588595902e-16
linear,0.0,3,0.13960364550972473,0.10470273413229356,1.840996059346521,4.440892098500626e-16
linear,0.0,4,0.05691718562546392,0.05691718562546392,1.4964025870389117,8.881784197001252e-16
linear,0.0,5,0.025861022211508197,0.03232627776438525,1.1440942927347277,8.809142651444724e-18
linear,0.0,6,0.014825469172507436,0.022238203758761156,0.8434915824254794,2.220446049250313e-16
linear,0.0,7,0.01051991210474431,0.01840984618330254,0.6084490404636186,5.551115123125783e-16
linear,0.0,8,0.008083316735073098,0.016166633470146196,0.43391358147348247,3.3306690738754696e-16
linear,0.0,9,0.006573066359943258,0.014789399309872331,0.30865868629285786,2.220446049250313e-16
linear,0.0,10,0.005543379447099584,0.01385844861774896,0.22092482499846838,4.440892098500626e-16
linear,0.5,2,0.36671746272218614,0.04583968284027327,0.5095999999999999,3.2959746043559335e-17
linear,0.5,3,0.14524285133351786,0.027233034625034597,0.46540003488878556,7.48099499014998e-18
linear,0.5,4,0.06374203364848305,0.015935508412120762,0.3801218523480135,2.220446049250313e-16
linear,0.5,5,0.032581191839041686,0.010181622449700526,0.29293444618182657,2.220446049250313e-16
linear,0.5,6,0.022208029724607288,0.008328011146727734,0.21854286635782066,1.1102230246251565e-16
linear,0.5,7,0.01659975933938556,0.007262394710981182,0.16037577263998642,2.220446049250313e-16
linear,0.5,8,0.013282908141110727,0.006641454070555363,0.11718265400101333,1.1584022586649811e-17
linear,0.5,9,0.011070263273630964,0.006227023091417417,0.08618523044621229,3.5236570605778894e-19
linear,0.5,10,0.009483944049648519,0.005927465031030324,0.06447331527739875,2.220446049250313e-16
linear,0.9,2,0.3456000000000001,0.0017279999999999995,0.021599999999999987,1.1102230246251565e-16
linear,0.9,3,0.12000000000000013,0.0009000000000000006,0.019976327812241092,0.0
linear,0.9,4,0.0900000000000001,0.0009000000000000005,0.016843659882171912,0.0
linear,0.9,5,0.07200000000000008,0.0009000000000000004,0.013640857206679336,0.0
linear,0.9,6,0.06000000000000007,0.0009000000000000006,0.01090810529477708,0.0
linear,0.9,7,0.05142857142857149,0.0009000000000000006,0.008771354913305619,0.0
linear,0.9,8,0.04500000000000005,0.0009000000000000005,0.0071846689224862,0.0
linear,0.9,9,0.04000000000000004,0.0009000000000000005,0.006045988057207796,0.0
