demand,c2,cce_u1_ratio,cce_u2_ratio,ce_max_u2,cce_residual,ce_residual
constant,0.2,0.3485058167416606,0.3388250996099476,0.0,0.0,3.469446951953614e-18
constant,0.4,0.3536264661750675,0.32985733470376666,0.0,2.220446049250313e-16,3.469446951953614e-18
constant,0.6,0.3757349488624692,0.31891083622586125,0.0,1.1102230246251565e-16,0.0
linear,0.2,0.4156836685794002,0.3140403806292739,0.0,0.0,0.0
linear,0.4,0.4199481594205642,0.3155787254052912,0.0,1.1102230246251565e-16,0.0
linear,0.6,0.4199481594205642,0.3155787254052912,0.0,1.1102230246251565e-16,0.0
quadratic,0.2,0.3865629915704595,0.3231581148629081,0.0,2.7755575615628914e-17,0.0
quadratic,0.4,0.38913096347538134,0.32406696096514565,0.0,1.1102230246251565e-16,0.0
quadratic,0.6,0.38913096347538134,0.32406696096514565,0.0,1.1102230246251565e-16,0.0
exponential,0.2,0.3769441004414882,0.33214829276780505,0.0,2.220446049250313e-16,0.0
exponential,0.4,0.4078965488750892,0.3287582778561081,0.0,2.220446049250313e-16,0.0
exponential,0.6,0.4130983391073875,0.31971453269291156,0.0,1.1102230246251565e-16,6.938893903907228e-18
