demand,cost,k100_ratio,abs_error,tail_mean
constant,0.0,0.36786574237262987,1.369879881246705e-05,0.3678620314092125
constant,0.5,0.3677990300176158,8.041115382650954e-05,0.3678039883711109
constant,0.9,0.36627906976744173,0.0016003714040006,0.36434997416064596
linear,0.0,0.367639102646823,0.00024033852461935457,0.36765952562209253
linear,0.5,0.36671746272218614,0.0011619784492561958,0.3669457780359309
linear,0.9,0.3456000000000001,0.02227944117144226,0.3426196907160443
quadratic,0.0,0.3678176140256249,6.182714581742799e-05,0.367737229307488
quadratic,0.5,0.3670709634230621,0.0008084777483802208,0.3671373641298629
quadratic,0.9,0.3449884860260224,0.022890955145419944,0.34374660862780443
exponential,0.0,0.36779106516159893,8.837600984340499e-05,0.36780877203089457
exponential,0.5,0.3678028045268552,7.663664458712471e-05,0.3677439148322487
exponential,0.9,0.36766711033596816,0.00021233083547417264,0.3657017055809092
